ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Support
9957098417,1 oct. 2023 à 16:11:06,Balade 01/10/23,Vélo,"",1941,"11,76",,,false,,VTT Nakamura ,activities/9957098417.gpx,,14.2,1941.0,1917.0,11765.5,12.6,6.137,123.0,123.0,56.1,105.4,11.8,0.0,,,,,,,,149.0,319.0,,,,,,,,,3.0,,,,,0.0,15.0,0.0,,1.0,,1696176000.0,1.0,28.1,28.9,16.7,0.5,1020.5,0.9,1.4,101.0,0.0,1696139904.0,1696182144.0,0.625,13209266.0,,0.0,1.0,0.3,31837.1,1.0,,,,,0.0,6.062,4842.0,,,,,,,,,,,,,,,,,""
9976223085,4 oct. 2023 à 15:35:18,Balade 04/10/24 l'après-midi,Vélo,"",3939,"17,90",,,false,,VTT Nakamura ,activities/10690615099.fit.gz,,,3939.0,3153.0,17901.9,10.283,5.678,173.1,176.0,35.9,105.4,10.2,0.0,,,,,,,,122.0,665.0,,,,,,,,,3.0,,,,,0.0,26.0,0.0,,1.0,,1696431616.0,3.0,20.5,19.8,9.1,0.48,1027.3,2.9,5.9,58.0,0.0,1696399360.0,1696440960.0,0.625,13209266.0,,0.0,1.0,0.89,34852.6,1.0,,,,,0.0,4.545,8103.8,,,,,,,,,,,,,,,,,""
9986742413,6 oct. 2023 à 08:45:34,Entraînement le matin,Entraînement,,3635,0,,,false,,,activities/10701561941.fit.gz,,,3635.0,3635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,340.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,""
9994799964,7 oct. 2023 à 15:04:26,Balade 07/10/23 l'après-midi,Vélo,Balade avec [strava://athletes/123247892/14]Oanell Gournay ,3495,"9,64",,,false,,VTT Nakamura ,activities/10709961805.fit.gz,,,3495.0,2023.0,9642.4,12.95,4.766,98.0,108.0,56.1,105.6,49.5,0.0,,,,,,,,104.0,312.0,,,,,,,,,2.0,,,,,0.0,9.0,0.0,,1.0,,1696690816.0,1.0,26.4,25.3,7.7,0.3,1024.4,3.0,4.6,70.0,0.0,1696658816.0,1696699776.0,0.875,13209266.0,,0.0,1.0,0.0,38497.7,1.0,,,,,0.0,2.759,2842.7,,,,,,,,,,,,,,,,,""
10019940486,11 oct. 2023 à 15:15:56,Balade 11/10/23 l'après-midi,Vélo,"",2880,"14,71",,,false,,VTT Nakamura ,activities/10736142782.fit.gz,,,2880.0,2463.0,14711.8,10.225,5.973,132.4,162.0,59.7,105.5,13.0,0.0,,,,,,,,130.0,531.0,,,,,,,,,2.0,,,,,0.0,11.0,0.0,,1.0,,1697036416.0,2.0,27.0,27.0,14.0,0.45,1017.9,3.5,5.9,224.0,0.0,1697004800.0,1697044992.0,0.875,13209266.0,,0.0,1.0,0.61,32239.7,1.0,,,,,0.0,5.108,5616.5,,,,,,,,,,,,,,,,,""
10029932407,13 oct. 2023 à 08:39:08,Entraînement le matin,Entraînement,,5178,0,,,false,,,activities/10746506728.fit.gz,,,5178.0,5178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,545.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,""
10038022391,14 oct. 2023 à 14:54:34,Balade 14/10/23 l'après-midi,Vélo,Balade avec [strava://athletes/123247892/14]Oanell Gournay ,4107,"11,18",,,false,,VTT Nakamura ,activities/10754925597.fit.gz,,,4107.0,2548.0,11180.7,11.762,4.388,105.3,102.0,45.8,105.5,8.7,0.0,,,,,,,,96.0,312.0,,,,,,,,,2.0,,,,,0.0,12.0,0.0,,1.0,,1697292032.0,2.0,17.6,16.8,7.5,0.51,1021.3,3.9,8.6,315.0,0.0,1697264256.0,1697303808.0,0.0,13209266.0,,0.39,5.0,0.56,31141.3,2.0,,,,,0.0,2.722,4323.7,,,,,,,,,,,,,,,,,""
10044239548,15 oct. 2023 à 15:00:07,Balade 15/10/23 l'après-midi,Vélo,Trop froid et trop de vent ,1132,"6,75",,,false,,VTT Nakamura ,activities/10761419996.fit.gz,,,1132.0,1073.0,6752.1,9.383,6.293,51.6,87.0,60.4,105.5,13.6,0.0,,,,,,,,139.0,204.0,,,,,,,,,2.0,,,,,0.0,5.0,0.0,,1.0,,1697382016.0,3.0,15.6,14.6,5.6,0.52,1021.4,5.3,9.7,60.0,0.0,1697350656.0,1697390080.0,0.0,13209266.0,,0.0,1.0,0.95,34101.7,1.0,,,,,0.0,5.965,4164.3,,,,,,,,,,,,,,,,,""
10071491484,20 oct. 2023 à 08:37:23,Entraînement le matin,Entraînement,,5401,0,,,false,,,activities/10789739247.fit.gz,,,5401.0,5401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,620.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,""
10096326605,24 oct. 2023 à 12:17:39,Balade 24/10/23 l'après-midi,Vélo,Avec [strava://athletes/124027536/16]Nathanaël Durand ,7337,"28,50",,,false,,VTT Nakamura ,activities/10815656468.fit.gz,,,7337.0,5337.0,28506.5,10.32,5.341,251.3,302.0,40.4,105.8,11.6,0.0,,,,,,,,112.0,627.0,,,,,,,,,2.0,,,,,0.0,25.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,3.885,10232.0,,,,,,,,,,,,,,,,,media/06667c7f-92df-44a4-9161-865f482bbb0a.jpg|media/a5c915ab-ef24-4c66-b528-8921cbfe0599.jpg
