timestamp;position_lat_deg;position_long_deg;altitude;distance;speed;speed_kmh;heart_rate;enhanced_altitude;enhanced_speed;cadence
2025-09-22T14:47:50;46.32878051139414;-0.3548607788980007;71.20000000000005;3420.17;4.749;17.0964;102;71.20000000000005;4.749;0
2025-09-22T14:47:55;46.32852125912905;-0.35499371588230133;71.39999999999998;3450.75;6.149;22.136400000000002;103;71.39999999999998;6.149;0
2025-09-22T14:48:02;46.32813837379217;-0.3552180156111717;72.60000000000002;3496.69;6.42;23.112000000000002;102;72.60000000000002;6.42;0
2025-09-22T14:48:09;46.327735958620906;-0.35553552210330963;73.39999999999998;3547.83;7.157;25.7652;104;73.39999999999998;7.157;0
2025-09-22T14:48:11;46.32762422785163;-0.35564674995839596;73.60000000000002;3562.91;7.194;25.8984;107;73.60000000000002;7.194;0
2025-09-22T14:48:15;46.327398335561156;-0.3558581415563822;74.0;3592.84;7.437;26.773200000000003;111;74.0;7.437;0
2025-09-22T14:48:16;46.32734100334346;-0.3559087682515383;74.0;3600.31;7.437;26.773200000000003;115;74.0;7.437;0
2025-09-22T14:48:17;46.32728367112577;-0.35596140660345554;74.0;3607.86;7.446;26.8056;115;74.0;7.446;0
2025-09-22T14:48:18;46.32722742855549;-0.35601697862148285;74.0;3615.43;7.483;26.9388;122;74.0;7.483;0
2025-09-22T14:48:19;46.327172024175525;-0.3560755681246519;74.0;3623.07;7.483;26.9388;124;74.0;7.483;0
2025-09-22T14:48:21;46.327062053605914;-0.3562071640044451;73.60000000000002;3638.94;7.483;26.9388;128;73.60000000000002;7.483;0
2025-09-22T14:48:22;46.32700723595917;-0.3562753926962614;73.39999999999998;3646.99;7.539;27.1404;131;73.39999999999998;7.539;0
2025-09-22T14:48:23;46.32695191539824;-0.35634529776871204;73.20000000000005;3655.16;7.614;27.4104;131;73.20000000000005;7.614;0
2025-09-22T14:48:25;46.326833898201585;-0.3564835153520107;72.79999999999995;3672.05;7.866;28.3176;134;72.79999999999995;7.866;0
2025-09-22T14:48:27;46.32671093568206;-0.3566162008792162;72.60000000000002;3689.12;8.034;28.922400000000003;141;72.60000000000002;8.034;0
2025-09-22T14:48:28;46.326650166884065;-0.3566849324852228;72.39999999999998;3697.69;8.174;29.426399999999997;143;72.39999999999998;8.174;0
2025-09-22T14:48:29;46.32659048773348;-0.35675542429089546;72.39999999999998;3706.27;8.314;29.930400000000002;146;72.39999999999998;8.314;0
2025-09-22T14:48:31;46.32647297345102;-0.3569016885012388;72.39999999999998;3723.52;8.416;30.297600000000003;150;72.39999999999998;8.416;0
2025-09-22T14:48:33;46.32635579444468;-0.35705164074897766;72.39999999999998;3740.92;8.491;30.5676;153;72.39999999999998;8.491;0
2025-09-22T14:48:35;46.32623358629644;-0.3572042752057314;72.60000000000002;3758.88;8.528;30.7008;158;72.60000000000002;8.528;0
2025-09-22T14:48:37;46.32611012086272;-0.35736260935664177;72.60000000000002;3777.24;8.687;31.2732;162;72.60000000000002;8.687;0
2025-09-22T14:48:42;46.32579102180898;-0.35777256824076176;72.20000000000005;3824.73;9.228;33.2208;165;72.20000000000005;9.228;0
2025-09-22T14:48:45;46.325582060962915;-0.3579999692738056;71.20000000000005;3853.82;9.508;34.2288;165;71.20000000000005;9.508;0
2025-09-22T14:48:52;46.32506774738431;-0.3584339842200279;69.60000000000002;3920.16;9.153;32.9508;165;69.60000000000002;9.153;0
2025-09-22T14:48:54;46.32496205158532;-0.3585836011916399;69.20000000000005;3936.72;8.416;30.297600000000003;164;69.20000000000005;8.416;0
2025-09-22T14:48:55;46.324926344677806;-0.3586653247475624;69.0;3944.15;7.819;28.1484;164;69.0;7.819;0
2025-09-22T14:48:56;46.32488787174225;-0.35873690620064735;68.79999999999995;3951.13;7.063;25.4268;164;68.79999999999995;7.063;0
2025-09-22T14:48:58;46.32478485815227;-0.3588564321398735;68.20000000000005;3965.82;7.353;26.4708;163;68.20000000000005;7.353;0
2025-09-22T14:49:03;46.324459724128246;-0.35916974768042564;67.20000000000005;4009.28;9.135;32.886;162;67.20000000000005;9.135;0
2025-09-22T14:49:09;46.32406066171825;-0.35964190028607845;65.60000000000002;4066.69;9.377;33.757200000000005;162;65.60000000000002;9.377;0
2025-09-22T14:49:16;46.323609882965684;-0.3602383565157652;64.39999999999998;4134.66;9.667;34.8012;160;64.39999999999998;9.667;0
2025-09-22T14:49:19;46.32342263124883;-0.3604911547154188;63.799999999999955;4163.16;9.601;34.5636;160;63.799999999999955;9.601;0
2025-09-22T14:49:26;46.323001524433494;-0.36108040250837803;62.39999999999998;4228.37;9.461;34.0596;161;62.39999999999998;9.461;0
2025-09-22T14:49:27;46.32294159382582;-0.36115558817982674;62.200000000000045;4237.19;9.424;33.9264;162;62.200000000000045;9.424;0
2025-09-22T14:49:31;46.32266239263117;-0.36138391122221947;62.0;4272.97;9.097;32.7492;164;62.0;9.097;0
